city,holc_id,name,holc_grade,name_location_grade_number,area_terrain,area_favorable_influences,area_detrimental_influences,inhabitants_occupation,inhabitants_income,inhabitants_foreign_pct_predominating,inhabitants_negro,inhabitants_infiltration,inhabitants_relief,inhabitants_pop_trend,buildings_type,buildings_construction,buildings_avg_age,buildings_repair,buildings_sale_rental_history,area_pct_improved,buildings_occupancy_pct,buildings_ownership_pct,buildings_sales_demand,buildings_sales_price_range,buildings_sales_activity,buildings_rental_demand,buildings_rental_price_range,buildings_rental_activity,buildings_constructed_past_yr_type_price,buildings_constructed_past_yr,mortgage_avial_home_purchase,mortgage_avial_home_building,area_desirability_trend,clarifying_remarks,information_source
East Bay,A1,NA,A,Berkeley Green A-1,Characterized by steep slopes and hills which lend themselves to view home locations and landscaping. Streets platted to minimize grades.,"Inspiring view locations, well improved streets, leading to direct arterials to Metropolitan Center and Bay Bridge to San Francisco.","Distance from schools, street car transportation and local shopping centers.","Profession and business men, executives, retired capitalists","4,000 - 25,000",no concentration N/A,no N/A,undesirables - no threat,none known,rapidly ,single family mansion type,"stucco, masonry, frame",10 years,excellent,"10,000 - 20,000 12,500 80 - 125 100 1933-34 5,500 - 10,000 7,500 60% 55 - 75 65 65% 1937 7,500 - 15,000 10,500 84% 70 - 90 80 80% 1927 102% 1927 100+%",40%,100-%,95%,good,"7-rm, 9,000-10,000",good,fair,"7-rm, 75",fair,"7-rm, 8,000-10,000","94, averaging 8,000 including lot",ample,ample,Up,"This section is known as Arlington Heights, Thousand Oaks Heights, and the East Bay area. A great amount of Federal Housing money has been used in financing homes in this area. A long time loan plan, at small monthly payments attracts buyers at prices high in proportion to rental values. Zoned first residential, single family, deed restrictions prohibit Asiatics and Negroes. The lower, more central part of the area would be classed as high green, whereas in the extreme upper part and that part near D-1, rating would be only green to low green. Of all the residential construction in Berkeley in 1936, forty percent was in this area. In the upper part of the area, there is much speculative building of houses costing around $5,000 to $8,000 to build.","Sutliff Realty & Finance Company, Berkeley, California. Building Department and Engineer's Office Records, City of Berkeley, Cal. Ralph E. Prentice 6/15 7"
East Bay,A2,NA,A,"Berkeley, California Green A-2","Hilly, with steep slopes and bluffs, which provide view homesites capable of beautification. Streets are constructed to minimize grades.","View property, well improved streets. Harmonious development and high degree of maintenance. Ready access to direct arterials leading to Metropolitan Center and Bay Bridge to San Francisco.","Distance from schools, street car transportation and local shopping center.","Professionals, business men and capitalists","4,000 - 15,000",no concentration N/A,none N/A,Undesirables: remote,none known,moderately ,"semi-mansion, single-family",stucco or frame,10 years,very good,"8,000 - 15,000 10,000 55-95 80 1933-34 5,000 - 7,500 6,250 52.5% 45 - 55 50 52.50% 1937 6,500 - 9,500 7,500 75% 55 - 65 60 75% 1927 102% 1927 100+%",50%,100%,90%,good,"6-rm - 8,000",fair,fair,6-rm - 60,fair,"6-rm - 8,500","11, averaging 8,400 including lot",ample,ample,Up,"Slightly more convenient location than A-1, but improved with less pretentious structures. The average cost of homes built in this area in 1936 was slightly higher than the average cost in A-1. There has been practically no speculative building during the past year, which indicates quality, rather than quantity of home building. District known as Thousand Oaks. Recovery in values has not been so great as in A-1, because there has been little new construction at recent high building costs to bring up the average. Values in this area reflect the average ten year depreciation.","Sutliff Realty & Finance Company, Berkeley, California. Building Department and Engineer's Office Records, City of Berkeley, Cal. Ralph E. Prentice 6/15 7"
East Bay,A3,NA,A,"Berkeley, California Low Green A-3","Hilly, with steep slopes and bluffs, which afford excellent view sites for residences. Streets platted to conform to topography.",View property; well improved streets. Harmonious population with high degree of culture. Groves of trees add to charm of neighborhood.,"Distance from schools, transportation and local shopping center.","Professional and business men, executives, etc.","5,000 - 25,000",no concentration N/A,none N/A,undesirables: remote,none known,slowly ,mansion types,frame,15 years - many new,good,"10,000 - 20,000 12,500 practically none practically none 1933-34 5,000 - 10,000 8,000 64% practically none practically none practically none 1937 6,000 - 11,000 9,000 72% practically none practically none practically none 1927 102% 1937 100",20%,100%,100%,poor,"3-room - 7,500",poor,poor,none for rent,poor,5 and 6-room homes,"21, averaging 7,000 including lot",ample,ample,Up,"This is an older development than A-1 and A-2, but homes are excellently maintained; difficulty of access to area isolates it somewhat. This district is known as Cragmont and Berkeley View Terrace; zoned first class residential (singles - family) and restricted by deed to Caucasian ownership. There was very little speculative building in 1936 in this area, most of the new homes being built under contract for owners.","Sutliff Realty & Finance Company, Berkeley, California. Building Department and Engineer's Office Records, City of Berkeley, Cal. Ralph E. Prentice 6/15 7"
East Bay,A4,NA,A,"Berkeley, California High Green A-4",Rolling to steep; part of area includes Berkeley Foothills; part nearest Deaf and Dumb School is level.,Inspiring view from upper section of area. Excellent local and San Francisco transportation; convenient to schools and recreational facilities; local shopping center. Homogenous district of fine houses.,"None, except some houses in this area are showing age","Professional, business men and executives","5,000 - 25,000",no concentration N/A,none N/A,undesirables: very remote,none,very slowly ,"mansion type, single-family","frame, stucco, masonry",18 years,excellent,"10,000 - 25,000 13,000 100 - 200 140 1933-4 5500 - 15000 9000 69% 65 - 100 55 60.50% 1937 7500 - 15000 10000 77% 70 - 125 95 60% 1927 102% 1927 100+%",60%,100%,90%,fair,"8-room, 12,000",slow,poor,"8-room, 90 to 100",slow,"mansions, averaging 12,000 including lot, etc.",four in 1936,ample,ample,"up, but will slow down by end of period","(8) six blocks nearest Deaf and Dumb School are built up solidly. Vacant land is in hill section. (9) some demand for building sites in area, but high land prices prohibit speculative building. This is the highest class residential district in Berkeley and highly deed restricted as a first class residential district. Very little rental activity due to large percentage of home ownership. This area is known as Claremont.","City of Berkeley, Building Department; Charles Gwynn; Ralph E. Prentice 6/15 7"
East Bay,A5,NA,A,Oakland High Green A-5,"Characterized by steep slopes and bluffs, which lend themselves to view home locations and landscaping; zoned, single-family residences, with restrictions as to type of home, with protective provisions against occupancy by Negros and Orientals.","Inspiring marine view. Well improved streets, platted to minimize grades. Considered one of the best residential areas in East Bay",Poor transportation (served by bus only). Not convenient to schools or shopping district.,"Professional, business men and executives.",3500 - 15000,no concentration N/A,none N/A,undesirables: none,none,yes ,"mansion, semi-mansion & single-family",frame and stucco,7 (new to 12) years,very good,8000 - 20000 125000 65 - 125 90 1933-4 5500 - 10000 7500 60% 45 - 75 55 61.5% 1937 7000 - 17000 11500 92% 60 - 125 80 89% 1927 102% 1927 100%,45%,100%,90%,good,"6-rm - 8,500",good,poor,6-rm - 65,slow,"mansions averaging 17,000 including lot, financing, etc.",37 in 1936,ample,ample,upward,"(5-g) Population increasing, due to home construction activity. In proportion to sales value, rental values in this district have always been low. The very western part of this area contains some expensive mansions, costing considerably over $12,000 to build; mostly F.H.A. financing. (10-c.) Rental activity slow because most homes occupied by, or being built for, owners. This district is known as Claremont Pines.","City of Oakland, Building Inspector's Office; Thomas P. Watson; Charles Gywnn; Ralph E. Prentice. 6/15 7"
East Bay,A6,NA,A,"Oakland, California Green A-6",Rolling,"Beautiful sylvan setting, among pin and eucalyptus trees; fine view; zoned single-family residential; highly restricted.","Distance to local and San Francisco transportation, schoolas and shopping centers; lack of sewers in considerable part of area.","Executives, professional and business men",3500 - 15000,no concentration N/A,no N/A,lower classes - no,none,increasing rapidly ,mansion type,frame and stucco,4 (new to 12) years,very good,1000 - 2000 14000 80 - 135 110 1933-34 5000 - 12000 75000 54% 50 - 100 65 59% 1937 75000 - 15000 12000 86% 70 - 125 90 82% 1927 102% 1927 100%,15%,100%,98%,good,"7 & 8 room homes on large lot 12,500",good,fair,"7 & 8 room homes, 90",very little,"7 & 8 room, detached, average 12,500, including lot and financing",18 - 1936,ample,ample,upward,"Considerable F.H.A. financing in this area. Rents are lower in proportion to market price because of small rental demand and the availability of long terms loans, which enable house ownership sheaper than a fair, ordinary rent. Little rental activity, as houses are mostly owner occupied. This area would be classed as high green but for above detrimental influences. This area is known as Montclair (Montclair Acres to northwest and Montclair Estates to southwest.)","City of Oakland, Building Inspector's Office; County of Alameda, Assessor's Office; Thomas E. Watson; Ralph E. Prentice 6/15 7"
East Bay,A7,NA,A,"Piedmont, California High Green A-7","Characterized by steep sloped and rolling hills, which lend themselves to view home locations and landscaping. Streets platted to minimize grades.","Mansions set on large, park-like, tree and shrub covered home sites. Zoned to single-family residences. Restricted to Caucasians. One of the best residential districts of the East Bay area.","Distance to local and San Francisco transportation, shopping centers and schools.",Profession and business executives,5000 - 50000,no concentration N/A,none N/A,undesirables - no,none,moderately ,"Mansion type, single-family","Frame, stucco, masonry",15 (new to 25) years,very good,10000 - 50000 16000 90 - 250 135 1933-34 6000 - 25000 9000 56% 50 - 135 25 55% 1937 75000 - 3000 12000 75% 55 - 200 100 74% 1927 102% 1927 100%,45%,100%,95%,good,"7-rm modern, 11,000",good,fair,"7-rm modern, 80",very little,"Mansions average 15,000 including lot, etc",35 in 1936,ample,ample,"Upward, but will become static within 15 years","(6-c) Above stated average age is low because of great number of fine homes constructed within the last seven years. There are many older mansions in the north central part of this area. (13) This district can hardly become better, but desirability can be increased by bettering the transportation. Little rental activity as houses are mostly owner occupied.","Building Inspector's Office, Piedmont, California: Ralph E. Prentice; Zura E. Bells 6/15 7"
East Bay,A8,NA,A,"Piedmont, California High Green A-8","Characterized by steep sloped and rolling hills, which lend themselves to view home locations and landscaping. Streets platted to minimize grades.","New and modern mansions, set on large homesites. Zoned to single-family homes; high restricted; contains highest priced new homes in East Bay area and is considered the very best district.","Distance to local and San Francisco transportation, shopping centers and schools.",Business executives and professional men,6000 - 100000,no concentration N/A,none N/A,lower grades - no,none,moderately ,mansions,"frame, stucco, masonry",5 (new to 10) years,excellent,15000 - 50000 22500 125 - 300 200 1933-34 10000 - 25000 15000 69% 90 - 200 135 67.50% 1937 15000 - 35000 20000 91% 125 - 250 175 87.50% 1927 102% 1927 100%,30%,100%,95%,good,"mansion - 17,500",fair,fair,mansion - 175,slow,"Mansions average 19,000 including lot, etc",27 in 1936,ample,ample,upward,"District known as Upper Piedmont Estates and St. James Wood, highly restricted - all modern. District can hardly become any better, but desirability could be increased by improved transportation and building a local shool and providing more adequate shopping facilities.","R.H. Barrett, Building Inspector, City of Piedmont; Ralph E. Prentice; Zura E. Bells 6/15 7"
East Bay,A9,NA,A,"Oakland, California High Green A-9","Mostly rolling; in places, steep slopes with terraced, view lots. Land platted to minimize prades.","Homogeneous area of fine, modern and semi-modern homes and mansions. Good view, convenient to San Francisco and local transportation and schools. Zoned for single-family residences and restricted to racial characteristics (Prohibits Asiatics and Negroes).",Lack of convenient shopping centers,"Professional, business men and executives",5000 - 35000,no concentration N/A,no N/A,Lower grades - no,none,yes ,"large, single-family","frame, stucco & masonry",10 (new to 20) years,very good,10000 - 20000 12500 90 - 150 110 1933-34 6500 - 12000 8000 54% 50 - 100 70 63.50% 1937 9000 - 16000 10000 80% 60 - 125 87.5 79% 1927 102% 1927 100+%,75%,100%,85%,good,"mansion type home, 10,000",fair,fair,"mansion type home, 90",slow,"large detached homes average 10,000 including lot, etc.",17 in 1936,ample,ample,stable,"Considered the best residential district of Oakland proper. (5-g.) Increasing, due to building of fine homes on comparatively few remaining lots. (9-c.) Activity only fair for semi-modern homes, as new houses built under Federal Housing, long term low interest loans, increase competition. This area is known as Lakeshore Highlands.","Building Inspector's Office, City of Oakland; Ralph E. Prentice; Assessor's Office, County of Alameda; Zura E. Bells 6/15 7"
East Bay,A10,NA,A,"Oakland, California Low Green A-10",Rolling,Convenient to local and San Francisco transportation; grade scshools and high school; local shopping areas; zoned for single-family residences; high racial restrictions,"Small size of area, hemmed in by multiple unit zoning","Professional, executive and business men",3500 - 12000,no concentration N/A,no N/A,lower class - no,none,slightly ,large detached homes,stucco - predominant,10 (new to 15) years,very good,10000 - 20000 14000 95 -150 125 1933-34 6000 - 12000 8500 51% 60 - 100 75 60% 1937 7000 - 15000 10000 71.5% 70 - 120 87.5 70% 1927 102% 1927 100+%,95%,100%,90%,fair,"7-rm home, 10,000",slow,good,"7-rm home, 85",little,fine large homes,4 in 1936,ample,ample,"static, but good for a number of years on account of type and quality of improvements","(7) There has not been a great recovery of prices in this area because of little business activity and natural depreciation on homes several years old, which predominate. (11-a &b) Detached; averaging 9,900 including lot, financing, etc. This area is known in general as the Excelsior District (includes Lakeshore Oaks, also part of Lakemont.) There is an inclination for prospective purchasers of property in this area to say, ""Let's go out a little further.""","Building Inspector's Office; Ralph A. Knapp; City of Oakland; Ralph E. Prentice; Assessor's Office, County of Alameda 6/15 7"
