city,holc_region,holc_id,holc_grade,inhabitants_pop_trend,inhabitants_occupation,inhabitants_foreign_pct_predominating,inhabitants_negro,inhabitants_infiltration,buildings_predominating_pct,buildings_type,buildings_construction,buildings_avg_age,buildings_repair,buildings_occupancy_pct,buildings_ownership_pct,buildings_1935_price_range_pct,buildings_1937_price_range_pct,buildings_1939_price_range_pct,buildings_sales_demand,buildings_price_trend,buildings_1935_rent_range_pct,buildings_1937_rent_range_pct,buildings_1939_rent_range_pct,buildings_rental_demand,buildings_rental_trend,buildings_constructed_past_yr,buildings_overhang_holc,buildings_overhang_institutions,buildings_sales_yrs,buildings_sales_holc,buildings_sales_institutions,mortgage_avial,tax_rate_yr,tax_rate_per_1000,area_description,name_location_grade_number,note
Los Angeles,Los Angeles County,A1,A,Rapidly N/A N/A,"Motion picture stars, executives & technicians, professinoal and business men. Income $3600-$600 & up.",0 --,0,None apparent,85 15,"5, 6 & 7 rooms Larger type","Frame, stucco & masonry N/A",2 years N/A,Good N/A,99% N/A,90% N/A,-- N/A,5000-7500 and up N/A N/A N/A,1939 5000-7500 and up N/A N/A N/A,Good N/A,Static & up N/A,No record of rentals N/A,No record of rentals N/A N/A N/A,1939 -- N/A N/A N/A,Good N/A,-- N/A,"250 5, 6 & 7 room, $5500-$7500 & up, $25000 & up Mansion type Moderately",1,Few,3,2,Few,Ample,7-1938,54.95,"Terrain: Level to rolling hillside. No construction hazard or flood threat. Land improved 30%. Highly deed restricted and protected from racial hazards. Conveniences are all readily available with exception of transportation which is as yet only fair. Street imprvements are still in process of construction. This area, located on the southern rim of the San Fernando Valley, was subdivided some 15 years ago, and substantial street imrpvements were installed. The depression retarded development. Under the stimulus of well directed promotional effort and FHA financing a revival started some 4 years ago and it is now one of the ""hot spots"" in the Valley. Construction and maintenance are of high quality. Architectural designs are harmonious. Location is favorable and attractive. Population is homogeneous. Lots are generally of extra size and sold on ""homesite"" basis and at widely varying prices according to size and location. The pattern of the area is well established and it is accorded a ""low green"" grade.",Encino 1st A-1 3/23/39,Caution: this area is currently affected in whole or in part by Ad valorem Tax District. Individual properties should be checked for this hazard.
Los Angeles,Los Angeles County,A2,A,Rapidly N/A N/A,"Business & professional men, motion picture employees and artists, executives, etc. Income $2400-$6000 & up",None --,None,None apparent,85 15,5-7 room bungalows 8 room bungalows,"Frame, stucco & masonry N/A",2 years N/A,Good N/A,98% N/A,95% N/A,Undeveloped N/A,5400-8500 N/A N/A N/A,1939 5400-8500 N/A N/A N/A,Good N/A,Static N/A,No record of rentals N/A,No record of rentals N/A N/A N/A,1939 No record of rentals N/A N/A N/A,-- N/A,-- N/A,175 5-7 room bungalows $5400-$8000 Readily,none,None,3,None,None,Ample,7-1938,52.68,"Terrain: Level to slightly rolling. No construction hazards. In the floods of 1938 the Tujunga Wash broke from its regular channel and slightly damaged a strip 150 feet wide in the northern and northeast portion of this area. Flood control work done since is said to have overcome any future flood threat. Land improved: unhatched portion 55%, hatched portion 5%. Deed restrictions provide for single family structures of minimum portion 5%. Deed restrictions provide for single family structures of minimum cost, require architectural supervision and uniform ""set backs"" and protect against racial hazards in perpetuity. Conveniences are all readily available, including interurban transportation to Los Angeles City Center. This new subdivision, which was placed on the market about 3 years ago, has developed rapidly, being currently one of the community ""hot spots"". Construction and maintenance are of the highest character, and architectural designs are harmonious and of outstanding quality. Population is homogeneous, with high degree of economic stability. The location of the area is favorable, motion picture studios and recreational area being conveniently accessible. It is thought that the area will continue its upward tend and it is therefore accorded a ""low green"" grade.",North Hollywood 1st A-2 3-25-39,Caution: This area is currently affected in whole or in part by an Ad valorem Tax District. Indivual properties should be checked for this hazard.
Los Angeles,Los Angeles County,A3,A,Rapidly N/A N/A,"Business and professional men, motion picture actors, writers, & executives. Income $2500 to $7500 and up",0 --,0,None apparent,85 15,7-8 rooms Few 5 room-some,"Frame, stucco & masonry Mansion type",4 years N/A,Good N/A,99% N/A,90% N/A,5200-9000 N/A,5500-10000 & up N/A N/A N/A,1939 5500-10000 & up N/A N/A N/A,Good N/A,Static N/A,Not a rental area N/A,Not a rental area N/A N/A N/A,1939 Not a rental area N/A N/A N/A,-- N/A,-- N/A,300 7 and 8 rooms and mansions $6000-$10000 Readily,0,0,3,0,0,Ample,7-1938,52.68,"Terrain: Level to rolling with no construction hazards and no flood threat. Land improved 55%. Deed restrictions limit cost of improvement to minimum of $4000 to $10000 according to location, provide for architectural supervision and uniform set-backs, and protect against subversive racial elements runs in perpetuity. The “Hidden Village” section is said to have a lower minimum cost for improvements. Conveniences are all readily available. The portion of area known as Toluca Lake was subdivided some 8 or 9 years ago, but intensive development has taken place within the past 5 years. The Hidden Village section is a recent subdivision and is less than 10% improved but growing rapidly. In fact, this area is one of the high grade “hot spots” in the County. Construction and maintenance are of excellent quality; architectural designs are attractive and harmonious. Population is homogeneous, and a high degree of community pride is indicated. The location is admirable, being within walking distance to both Universal and First National Motion Picture Studios and easily accessible from Hollywood and downtown Los Angeles. Proximity to Lakeside Golf Course and the bridle trails and other recreational features of Griffith Park are also favorable influences. This is outstandingly the most desirable area in the San Fernando Valley and is accorded a “medial green” grade.","North Hollywood, Toluca Lake and Hidden Village Dist. 1st A-3 3-30-39",Caution: This area is currently affectd in whole or in part by an Ad valorem Tax District. Individual properties should be checked for this hazard.
Los Angeles,Los Angeles County,A4,A,Moderately N/A N/A,"Business and professional men, reitred people and executives, Income $3000-$6000 and up",0 --,0,None apparent,90 10,"6-7-8 room, 2 story Larger dwellings","Stucco, frame and masonry N/A",12 years N/A,Good N/A,98% N/A,90% N/A,5500-10000 and up N/A,6000-11500 and up N/A N/A N/A,1939 6000-11500 and up N/A N/A N/A,Fair N/A,Static N/A,No record of rentals in this area N/A,No record of rentals in this area N/A N/A N/A,1939 No record of rentals in this area N/A N/A N/A,No record of rentals in this area N/A,-- N/A,"50 7-8 rooms, $8000-$12500 Owner built",5,Few,3,7,Few,Ample,7-1938,51.5,"Terrain: Gently sloping to hillside and rugged. No serious construction hazards. Land improved 50% in north to 70% in south, average 60%. Deed restrictions are adequate, providing for minimum improvement costs, limited construction to single family structures and protecting against racial hazards; also zoned, single family residential . Conveniences are all as available as could be expected in an exclusive and sequestered neighborhood. This area which lies along the northern border of Burbank and Glendale was subdivided some 20 years ago, and has enjoyed a leisurely but steady growth without undue promotional effort. Construction and maintenance are of excellent quality. Architectural designs are pleasing and population is homogeneous. In the section east of Columbus Ave. improvements will not average over 3 years, and most of the new construction has been in this part. Many dwellings occupy extensive homesites; the “price range” shown, however, covers only nominal land value. The location is a popular one not alone for its altitude and view but also on account of the homogeneity of its middle to higher income level home owners. The upward trend of desirability of this area will continue for a number of years and it is therefore accorded a “low green” grade.",Burbank and Glendale 1st A-4 3-27-39,Caution: This area is currently affected in whole or in part by an Ad valorem Tax District. Individual properties should be checked for this hazard.
Los Angeles,Los Angeles County,A5,A,Moderately N/A N/A,"Business and professional men, retired capitalists, executives, etc. Income $5000-$15000 and up",0 --,0,None apparent,85 15,"7-10 room, 2-story 6-8 room bungalows","Stucco, masonry Stucco, Frame, Masonry",6 years N/A,Good N/A,99% N/A,95% N/A,7500-10000 and up N/A,8500-15000 and up N/A N/A N/A,1939 8500-15000 and up N/A N/A N/A,Fair to good N/A,Static N/A,No record of rentals in this area N/A,No record of rentals in this area N/A N/A N/A,1939 No record of rentals in this area N/A N/A N/A,No record of rentals in this area N/A,-- N/A,20 7-8 room bungalows $9000 and up Owner built,2,Very few,3,0, Very few,Ample,7-1938,51,"Terrain: Slightly rolling to steep hillside, where there are some construction hazards. Land improved 50% Deed Restrictions limit structures to single-family dwellings with minimum cost of $4000; provide for architectural supervision and perpetual racial protection. Conveniences are all as available as is thought desirable in this class district. This is one of Glendale’s newest and best residential districts and has shown great activist in the past 5 years. Construction and maintenance are of excellent quality. Architectural designs are harmonious and of high order. Population and improvements are both homogeneous. Proximity to Glendale Junior college, a very superior institution, is a favorable influence. Price brackets shown above are nominal, as size of home sites vary. Lot prices are not stabilized and are said to have a wide range from $50 per front foot and up with a distinctly rising tendency. The area is accorded a “medial green” grade.",Rossmoyne 1st A-5 3/27/39,Caution: This area is currently affected in whole or in part by an Ad valorem Tax District. Individual properties should be checked for this hazard.
Los Angeles,Los Angeles County,A6,A,Rapidly N/A N/A,"Business and professional men, Jr. and Sr. executives, reitred people. Income $3000-$6000 and up",0 --,0,None apparent,90 N/A,6-7 rooms N/A,"Stucco, frame, masonry N/A",3 years N/A,Good N/A,99% N/A,95% N/A,Not established N/A,6000-8000 N/A N/A N/A,1939 6000-8000 N/A N/A N/A,Good N/A,Static N/A,No record of rentals in this area N/A,No record of rentals in this area N/A N/A N/A,1939 No record of rentals in this area N/A N/A N/A,No record of rentals in this area N/A,-- N/A,75 6-7 rooms $6500-$8500 Readily,1,0,3,1,0,Ample,7-1938,51.9,"Terrain: Level to rolling valley between ranges of hills to north and south. No construction hazards. Land improved 50%. Deed restrictions are adequate and enforced; provide protection from racial hazards. Zoning is single family residential. Schools, churches and trading centers are fairly available. Transportation, however, is inadequate. This somewhat secluded area is a comparatively recent development which has progressed rapidly under the stimulus of well-directed promotional effort and FHA financing. Construction is standard or better. Maintenance indicates high pride of ownership. Architectural designs are excellent and population is stable and homogeneous. Lack of public transportation is area’s greatest handicap. Some possibility of inconvenience from flood conditions in seasons of heavy rainfall. Distance from business centers is a deterrent. Land values are said to be out of line with supply and demand. It is thought that peal of activity has passed and, while future trend will continue upward, it will be slower but healthy and constant. The area is accorded a “low green” grade.",East Glen Oaks 1st A-6 3/25/39,Caution: This are is currently affected in whole or in part by an Ad valorem Tax District. Individual properties should be checked for this hazard.
Los Angeles,Los Angeles County,A7,A,Slowly N/A N/A,"Executives, professional and business men, retired capitalists, etc. Income $5000-$10000 and up",0 --,0,None apparent,80 20,7-8 rooms Estate and mansion type,"Stucco, frame and masonry Stucco and masonry",10-12 years 10-15 years,Good Good,99% 100%,95% 100%,5500-8000 10000 and up,7000-10000 and up N/A 12000 and up N/A,1939 7000-10000 and up N/A 12000 and up N/A,Good Poor,Static Static,No record of rentals  No record of rentals ,No record of rentals  N/A No record of rentals  N/A,1939 -- N/A -- N/A,-- --,-- --,30 6-7 rooms $6500-$8500 Owner built,0,Very few,3,1,Very few,Ample,7-1938,54,"Terrain: Hillside with many view locations. Some construction hazards but not serious. Land improved 60% including large estate sites. Deed restricted to single family dwellings with minimum improvement costs, and protection against racial hazards in perpetuity. Zoning conforms to deed provisions. Conveniences are all reasonably available for this type of neighborhood. Development of this area commenced some 20 years ago, and has been gradual. It is currently experiencing its greatest activity. Construction and maintenance are of excellent quality. Architectural designs are appealing and population is homogeneous. Land is valued on home site basis and front foot prices are not quoted. A number of large walled-in estates are located here and most improvements have generous sites. The area is characterized by charm of location, expansive views and ready accessibility. There are no serious detrimental influences and trend of desirability is distinctly upward. The area, therefore, is accorded a “low green” grade.",East Glendale 1st A-7 3/29/39,
Los Angeles,Los Angeles County,A8,A,Moderately N/A N/A,"Business and professional men, retired people, executives, etc. Income $5000 and up",0 --,0,None apparent,100 N/A,Mansions and estates N/A,"Masonry, frame and stucco N/A",8 years N/A,Good N/A,99% N/A,95% N/A,Not possible to establish prices on this type of area. N/A,Not possible to establish prices on this type of area. N/A N/A N/A,1939 Not possible to establish prices on this type of area. N/A N/A N/A,Not possible to establish prices on this type of area. N/A,See below N/A,Not a rental area N/A,Not a rental area N/A N/A N/A,1939 Not a rental area N/A N/A N/A,-- N/A,-- N/A,18 7-15 rooms $12500-$75000 Owner built,0,0,3,0,0,Ample,7-1938,"56.25, Co. $44.42 - City $11.83","Terrain: Rugged hillside and hilltop. Many construction hazards. Probably 40% of acreage suitable for residential development is covered by present improvements, although only about 10% of the land in the area is developed. Deed restrictions provide for minimum improvement cost of $7500, architectural supervision and racial restrictions in perpetuity. Zoning is single family residential. Conveniences are not readily available. This exclusive and sequestered district was subdivided in 1925 and has been slowly developed since that time. A re-subdivision of some of the large acreage plots was recently made with the mutual consent of all property owners of the area. This will undoubtedly stimulate further development as the district is very highly regarded. Construction, architectural designs and maintenance are of the very highest character. It is not practical to designate a predominating type and size or to give price brackets as extent of home sites largely govern prices. In a general way it might be states that estates have cost owners from $25000 to $1000000. The area has been very carefully developed and population is homogeneous, and has a high community pride. Remoteness and comparatively small number of improvements preclude assignment of the highest grade, but it is thought that pattern and prospects are definite enough to warrant assignment of a “medial green” grade.",Flintridge 1st A-8 4/4/39,
Los Angeles,Los Angeles County,A9,A,Moderately N/A N/A,"Business and professional men, retired and active capitalists, and Jr. executives. Income $3000-$10000 and up",Few None subversive,0,None apparent,55 45,"5, 6 and 7 rooms 8, 9 and 10 rooms and up","Frame, stucco and masonry Frame, stucco and masonry",10 years 15 years,Good Good,98% 98%,85% 95%,4500-7500 8000 and up,5500-8500 N/A 8500 and up N/A,1939 5500-8500 N/A 8500 and up N/A,Good Poor,Static Static,$25-55 No rental range established,$35-60 N/A No rental range established N/A,1939 $35-60 N/A -- N/A,Good --,Static --,"50 6-7 rooms, $7000-$10000 Owner-built",2,Few,3,4,Few,Ample,7-1938,48.8,"Terrain: Level to hillside with no steep grades. No construction hazards. Land improved 50%. Deed restrictions have expired or will expire shortly; however, there is a movement on foot looking to renewal of racial restrictions. Schools are of good quality and readily available. Churches and trading centers are somewhat distant from parts of area. Transportation is inadequate; however, this is two-car neighborhood. This area which is composed of several subdivisions has been slowly developing for 25 years or more. Activity has increased somewhat during the past 5 years, the new improvements being largely of the bungalow type. Construction, maintenance and individual architectural designs are of excellent character. The wide range in size of improvements detracts from the harmony of the area. Population is h homogeneous. The altitude approximates 2,000 feet and the location is particularly attractive to those desiring a high dry climate; on the other hand, proximity to the mountains results in a summer climate several degrees warmer than in area to the south. This is said to affect salability somewhat. Adjacent to the Pasadena Gold Club and Altadena Recreational Center are favorable influences. Indications are that the trend of desirability will be slowly upward for a number of years. The area is accorded a “low green” grade.",N. E. Altadena 1st A-9 4/10/39,
Los Angeles,Los Angeles County,A10,A,Rapidly N/A N/A,"Professional and business men, executives, etc. Income $3000-$6000",Few None subversive,0,None apparent,90 10,6 and 7 rooms 5-8 rooms and up,"Frame, stucco and masonry N/A",3 years N/A,Good N/A,98% N/A,90% N/A,Very few in 1935 N/A,6000-8000 N/A N/A N/A,1939 6000-8000 N/A N/A N/A,Good N/A,Static N/A,This is not a rental neighborhood N/A,This is not a rental neighborhood N/A N/A N/A,1939 This is not a rental neighborhood N/A N/A N/A,-- N/A,-- N/A,175 6-7 rooms $600-$8000 Readily,2,0,3,2,0,Ample,7-1938,48.8,"Terrain: Level with favorable grades. No construction hazards. Land improved 40%. Deed restrictions provide good coverage and protection against racial hazards. Good school facilities and churches are conveniently available. Trading centers are somewhat distant and transportation is hardly adequate. This is a new section whose development has largely taken place during the past five years. Current activity is mainly in the astern art and is very pronounced. Construction ranges from good standard to extra grade. Maintenance shows high pride of ownership. Population is homogeneous. Aside from a number of 9 and 10 room structures along Midlothian Dr. improvements are uniformly medium sized bungalows, whose architectural designs are attractive. Adjacent to the Pasadena Gold Club is a favorable influence. The general location of the area is also a constructive factor. Aside from temporary lack of adequate trading facilities and transportation, the area is singularly free from detrimental influences and is, therefore, according a “medial green” grade.",N. E. Altadena 1st A-10 4/10/39,
