city,holc_region,holc_id,name,holc_grade,area_terrain,area_favorable_influences,area_detrimental_influences,area_pct_improved,area_desirability_trend,inhabitants_occupation,inhabitants_income,inhabitants_foreign_pct_predominating,inhabitants_negro,inhabitants_infiltration,inhabitants_relief,inhabitants_pop_trend,buildings_predominating_pct,buildings_other1_pct,buildings_other2_pct,buildings_type,buildings_construction,buildings_avg_age,buildings_repair,buildings_occupancy_pct,buildings_ownership_pct,buildings_constructed_past_yr,buildings_1929_price_range_pct,buildings_1935_price_range_pct,buildings_1938_price_range_pct,buildings_sales_demand,buildings_sales_activity,buildings_1929_rent_range_pct,buildings_1935_rent_range_pct,buildings_1938_rent_range_pct,buildings_rental_demand,buildings_rental_activity,mortgage_avial_home_purchase,mortgage_avial_home_building,clarifying_remarks,name_location_grade_number
Sacramento,"Sacramento, Cal.",A1,East Sacramento,A,Level with favorable grades - no construction hazards.,"Convenience to transportation, trading areas, schools, churches, etc. Homogeneity of improvements and social and income levels. Adequate deed restrictions. Charm of location and high standard of construction and up-keep.","High percent of land improvement leaves little margin for future growth. Limited market from J Street to Folsom owing to improvements being above popular price range. This does not apply north of J, as residences are more moderate in price.",90,Up to static,Professional and business executive type,"3600 to 10,000 and up",None Americans,0 ,Deed protected,None,Slowly  ,90,,,6 to 7 rooms  ,"Frame, stucco & brick  ",12  ,Good (excellent)  ,100  ,87  ,(1937) 3  ,"7500-20,000  ","1935 6000-16,000 80    ","1938 6750-18,000 90    ","6750-10,000 good ",Good  ,50-100  ,1935 40-80 80    ,1938 50-95 95    ,50-70 good  ,Good  ,Ample,Ample,"Development in area began in 1924, and has shown steady growth since that time. In addition to having deed restrictions, it is zoned single-family residences. Is a high degree of homogeneity as to architectural types and standard of construction. Is the city's most population district, that portion on 45th and 46th Sts. from J to 1/4 of a block north of Folsom Blvd. being particularly high grade. Although area has a 90% land improvement, it will remain ""tops"" for many years to come. Population density in area is very much below average for the city as a whole. Area is accorded a ""high green"" grade.",Part of East Sacramento - 45th-47th H to Folsom A+ 1
Sacramento,Sacramento Ca.,A2,Swanston Park and Land Drive Terrace,A,Level with favorable grades - no construction hazards.,"Convenience to transportation, trading and recreational areas churches, etc. Particularly fabored in being in close proximity to a junior college, high school, and grade schools. Nearness to downtown centers and to State Office Buildings.","None, fundamentally, but some evidence of a tendency toward heterogeneous architectural types.",60,Up,Professional and business men-Sr. and Jr. executives,2400-6000,None American,None ,Restricted,None,Rapidly  ,95,,,5 and 6 rooms  ,Frame & stucco & brick  ,3  ,Good  ,98.5  ,94  ,(1937) 161  ,"6000-10,000  ",1935 5000-8000 80    ,1938 5750-9500 95    ,All prices ranges good  ,Good  ,50-70  ,1935 40-55 80    ,1938 50-65 95    ,Good in all types  ,Good  ,Ample,Ample,"Development of area began in 1925, subsequent subdivisions being placed on the market in 1926-27-28-29-32-38, almost all carrying deed restrictions. 7th Ave. was dedicated in 1911, but abutting property was never platted. Is zoned 1 and 2-family residential, but over 95% improvements are single-family. Construction generally of good quality, homogeneity of social and income levels is fair to good. Including hatched portion of area, it is only about 25% developed. Is the fastest growing section of city, and when the hatched portion of area is developed, should be broken down and regarded. There is a high-grade, multi-family dwelling project in contemplation for this section. Under the circumstances, it is felt a provisional rating of low to medial green should be accorded. Is a keen competition for mortgages in area by all lending agencies, and bidding for loans is not uncommon. More than 25% of city's residential construction in 1937 was in this area.",Swanston Park & Land Drive Terrace A+ 2
Sacramento,"Sacramento, Cal.",A3,College Tract and Land Park Tract,A,"Level with favorable grades, no construction hazards.","Convenience to transportation, schools, trading centers, churches, and recreational areas. Homogeneity of population and improvements.",There is evidence that 11th Avenue may become a main thoroughfare for heavy traffic.,50,Up,"Executive, business professional","3500-10,000",None -,None ,Deed protected,None,Rapidly  ,,,,6 to 7 room  ,"Frame, stucco, brick  ",Now to 10  ,Good  ,99  ,92  ,20  ,"7500-15,000  ","1935 6000-12,000 80    ","1938 7250-14,500 95    ",All prices good  ,Active  ,60 - 100  ,1935 50 - 80 80    ,1938 55 - 95 95    ,All prices good  ,Active  ,Ample,Ample,"This area, which is very sparsely settled, has adequate deed restrictions and is zoned single-family residential. The older portion east of Land Park Drive was subdivided in 1926 and the newer portion in 1938. Improvements generally conform both as to type and age, and construction is of the highest grade. This area enjoys a high degree of popularity and is accorded a ""high green"" grade.",College Tract and Land Park Tract A+ 3
Sacramento,"Sacramento, Cal.",B1,Woodlako,B,Level with no construction hazards. Hatched portion below grade of the developed parts of area.,"Schools, churches and trading facilities adequate. Low tax burden. Charm of location. Highly deed restricted.","Inadequate transportation. Being outside city limits, there is a lack of fire and police protection and no sewers. Proximity to low swamp lands to the south.",70,Up to static,"Executive, professional, and business men",2400-5000,Few None,None ,Deed protected,None,Rapidly  ,95+,5,,5 and 6 rooms Larger size. ,"Frame, stucco & brick Considered over-improvements ",Now to 10  ,Good  ,98  ,65  ,(1937) 70  ,"4500-10,000  ",1935 3750-8000 80    ,1938 4250-9000 90    ,4250-6500 Good ,Good  ,45-60  ,1935 32.50-45 70    ,1938 40-55 90    ,All levels good ,Good  ,Ample,Ample,"This is a new subdivision, located in natural oak grove. It is highly deed restricted but is without zoning. Improvements and population are homogenous, and construction is high class. There is a movement on foot to obtain a sewer system. This area has many of the qualities of a green area, but owing to detrimental influences set forth, it is deemed inadvisable to accord better than a high blue grade.",Woodlake B 1
Sacramento,"Sacramento, Cal.",B2,McKinley Park,B,Level with no construction hazards.,"Convenience to transportation, schools, churches, trading and recreational areas. General homogeneity of population and improvements High quality of upkeep.",Proximity to industrial district to the north. Planning Commission has designated McKinley Blvd. as a future major traffic arterial and H Street already somewhat affected by heavy traffic volume. Above average density of population in parts of area.,85,Static to down,"Professional & business men, skilled artisans, etc.",1800-4000,Few -,- ,Largely deed protected,None known,Slowly  ,95,,,5 - 6 rooms  ,"Frame, Rustic, Stucco, Brick  ",10 (33rd to D- North of McKinley 20 years.) ,Good  ,98  ,67  ,9  ,"4500-10,000  ",1935 3600-8000 80    ,1938 4000-9000 90    ,"All prices, good  ",Active  ,40 - 70  ,1935 32.50 - 55 80    ,1938 37.50 - 65 95    ,"All prices, good  ",Active  ,Ample,Ample,"This area includes subdivisions platted in 1910,11,22,24,25,26,29 on 32nd and 33rd Streets, but pattern is well established. Zoned portion single-family; balance two-family. There is a steady sale and rental demand for property in this area, particularly on those streets abutting the park. The northwest section is somewhat lower grade, with some evidence of ""Jerry building."" The area as a whole is accorded a ""high blue"" grade.",McKinley Park B 2
Sacramento,"Sacramento, Cal.",B3,East Sacramento,B,"Generally level with no construction hazards. There is a low spot on 47th, 48th, and 50th streets, between F and H streets, which subjects thsi section to backyard flooding for short periods during a heavy rainfall.","Convenience to transportation, schools, churches, and trading centers. Proximity to highest grade district in the city. District development still supervised by original high-grade subdivider. Homoegeneous population.",Flood water hazard mentioned in 1-a. Maternity hospital located northwest of area offers some sales resistence to adjacent property.,80,Up to static,Business & professional men & whtie collar workers,2100-3600,Few None subversive,None ,Remote,None,Rapidly  ,95,,,5 - 6 room  ,"Frame, stucco, brick  ",10  ,Good  ,97  ,81  ,17  ,5000-7500  ,1935 4000-6000 80    ,1938 4500-6750 90    ,"All prices, good  ",Active  ,40 - 60  ,1935 32.50 - 50 80    ,1938 37.50 - 55 95    ,All prices - good  ,Active  ,Ample,Ample,"Area consists of three subdivisions platted in 1926,29 and 1938. Population density is below average. Zoned 2-family residential, but owing to deed restrictions, which are adequate and strictly enforced, improvements are wholly single-family residences. Restrictions west of 45th St. are on the point of expiring, but pattern is definitely established and social and price level will protect. There is a good demand for property in area, and while there is evidence of some cheap construction, generally it is of high grade. The area is accorded a ""high blue"" grade. Hatched portion in eastern part will probably develop into a lower grade. ",Part of East Sacramento B 3
Sacramento,"Sacramento, Cal.",B4,Wright and Kimbrough Addition,B,Level with no construction hazards.,"Transportation, schools, churches, and trading centers unusually convenient. Homogeneous population and high pride of ownership. Many streets have great beauty and charm. Population density below city average. Proximity to highest grade area in the city.","Quite a sprinkling of large, old residences throughout the area. These, however, area high maintained.",90,Static to down,"Professional & business men, Sr. & Jr. Executives white collar workers",2400-5000 Up,Few None subversive,None ,Remote,None known,Slowly  ,90,5,5,6-7 rooms West if 30th-2 & 4-fam. dwellings. 1 bungalow ct. Mansion,"Frame, brick & stucco Frame & stucco Frame & brick",15-20 12 20-25,Good Good Good,98.5 - 100 est.,"73 "" "" - 95 """,3 - None,"5000-10,000 8000-10,000 10,000-15,000",1935 4000-8000 80 6400-8000 80 6000-9000 60,"1938 4500-9000 90 7000-8500 85 7000-10,500 70","5000-7500 good 7000-8500 fair All prices, poor",Good Fair Poor,50-100 40-60 100-125,1935 40-80 80 32-42.50 70 60-75 60,1938 45-90 90 35-50 80 70-87.50 70,45-60 35-50 All levels - poor to fair,Good Good Poor,Ample,Ample,"Composed of 11 sub-divisions opened between 1908 and 1922. Deed restrictions on early building has expired. Present zoning is one family east of 39th St., 2-family west of 39th, and north of J street multiples are allowed. Housing is 95% one family. Although construction and upkeep is high grade through out, each subdivision presents varying styles of architecture. Except for age the eastern part of this area would warrant a first grade rating. Present rating is high blue.",Wright & Kimbrough Addition B 4
Sacramento,"Sacramento, Cal.",B5,Ridgewood and Ridge Park,B,Level with no construction hazards.,"Transportation, schools, churches, and trading centers are conveniently available. Adequate deed restrictions. Homogeneity of population and improvements. High pride of ownership. Proximity to high-grade areas A-1 and B-4. Population density below city average.","Heavy traffic Folsom Blvd., which is a mjaor arterial. Proximity to East Lawn Cemetery and areas C-14,15, and 15 is slightly detrimental and is said to cause soem sales resistance.",95+,Static to down,Business & professional men & white collar workers,2400-3600,- None subversive,None ,Protected,None,slowly  ,100,,,5 - 6 roms  ,"Brick & frame, stucco  ",12 Years except 38th and 39th sts.  ,Good  ,98  ,70  ,7  ,5000-7500  ,1935 4000-6000 80    ,1938 4500-6750 90    ,All prices-good  ,Good  ,45 - 55  ,1935 35 - 45 80    ,1938 40 - 50 90    ,All prices - good  ,Good  ,Ample,Ample,"Except for two blocks between 38th and 30th streets which are somewhat older the balance of area was sub-divided in 1925. Although zoned for two family houses, deed restrictions limit building to one family units. House has high degree of conformity as to type, age and soundness of construction. This is a homoegeneous and popular medium priced section. Grading is ""high blue"".",Ridgewood and Ridge Park B 5
Sacramento,"Sacramento, Cal.",B6,Old City,B,Generally level with no construction hazard. Gentle grade from 22nd st. both east and west.,"Transportation, schools, churches, and trading centers conveniently available. Nearness to city center. Steady demand for both purchase and rental.","Proximity to lower grade areas. Lack of restrictions and single family zoning. Substantial number of large, old mansion-type residences, which, while highly maintained, have a tendency to hasten declining period of area as a whole.",85,Up to static,"Business men, clerical & white collar workers, skilled artisans",1800-5000 up 90%-1800-3000,Few None subversive,None ,Remote,None known,slowly  ,90,Few,8,5-6 rooms 2-4 family 7-10 rooms-mansion type,"Frame, stucco & brick Frame Frame & brick",15 15 30,Good Good Good,95 All types - -,"55 "" "" - -",9 - -,4000-6000  ,1935 3200-4800 80    ,1938 3600-5400 90    ,All prices-good Good Poor,Good Good Poor,30-50  ,1935 25-40 80    ,1938 27.50-45 90    ,All prices - good  ,Good  ,Ample,Ample,"This area is an outlying district which has been developing slowly for past 40 years. About 40% of the area is zoned for two family houses, but 98% of the homes are single family. Most of the large old mansions are located on 22nd and 23rd streets; they are well maintained and add character to the neighborhood, although not as desirable as the otehr smaller houses.","Part of ""Old City"" B 6"
Sacramento,"Sacramento, Cal.",B7,High School Tact,B,Level with no construction hazards.,"Convenience to city center, transportation, schools, churches and trading centers. Development of district under supervision of competent sub-dividers has had an effect of establishing its pattern along distinctly favorable lines. Proximity to city's main high schools. Below city average in population density.",Proximity to business and lower grade areas. Some sales resistance to propert abutting high school on account of noise and student car parking.,85,Up to static,"White collar workers, small business men.",1500-2000,Few None subversive,None ,considered remote,None known,slowly  ,95 + ,,,5 - 6 room Few 2-family ,"Frame, stucco & brick veneer  ",15  ,Good  ,99  ,50  ,4  ,3500-4500  ,1935 2750-3750 80    ,1938 3250-4000 90    ,All prices - good  ,Good  ,35 - 45  ,1935 27.50-37.50 80    ,1938 32.50 - 42.50 95    ,All prices - good  ,Good  ,Ample,Ample,"This area consists of 7 subdivisions which were placed on market during period from 1913-27. Is zoned 2-family residential with exception of extreme northwestern section where multi-family dwellings are permitted. The area was developed under adequate & strictly enforced deed restrictions, which have generally expired. Improvements are 98% single-family dwelligns of medium price range, which are well constructed and concorm to type. Population consists of moderate income group and is generally homogenous. Sales and rental demand is steady. Maintenance is of good quality. Is a well regarded, popular price area and is accorded a ""low blue"" grade.","High School Tract ""T"" St. Court B 7"
