city,holc_id,name,holc_grade,area_description
San Diego,A1,Matton Bond District,A,"Topography mostly level with some canyons which are, for the most part, highly improved with terraces, shrubs, etc. Residents are white collar classes, professional men, retired people and business men, artists and writers, with an income range from $2000.00 to $20,000.00. Type of construction one and two story frame and frame stucco, with cost range of $4000.oo to $20,000.00. Average age of buildings - 12 years. Building restrictions by ordinance. Approximately 85% developed; 90% home owned; 10% rented; no vacancies. Has beautiful view of sea and La Jolla. This area is, at present, enjoying some rapid development in the way beautiful and attractive homes. It is easily accessible to all recreational facilities and business district. The area is highly regarded by local residents and there has always been a steady demand for property in the area. Located in Acquisition and improvement District No. 1, City of San Diego, Causeway, (Mattoon Bond District)."
San Diego,A2,NA,A,This area is comparable in every respect to A-1.
San Diego,A3,Muirlands,A,"This area is known as Muirlands. Topography sloping toward the hills, with magnificent view of ocean and La Jolla. Improvements predominantly two story frame stucco with cost range from $6,000.00 to $30,000.00. Lots carry deed restrictions as to races, buildings, architectural design, etc. Elevation of the lots runs from 200 to 600 feet above sea level. Contiguous to the area is located the La Jolla, all-grass, 18 hole championship golf course, with its attractive Club House. The farthest outlying lots are easily within ten minutes from the La Jolla business district. This is probably one of the most attractive and highest rated districts for large homes and estates in the La Jolla area. Residents are 100% white, being composed of retired people, professional and business men and writers, with an income range from $3600.00 to $50,000.00 per year. Average age of buildings - 8 years. Approximately 15% developed; 98% owner occupied; 2% tenant occupied; no vacancies. No influx whatever of any inharmonious influences. Homes naturally show a high pride of ownership and are excellently maintained. All utilities in. Located in Acquisition & Improvement District No. 1, City of San Diego, Causeway, (Mattoon Bond District)."
San Diego,A4,La Jolla Hermosa,A,"This area is practically all level, lying along the ocean and extending east to the foot-hills. Restricted to Caucasian race. Residents are professional and retired business men, range of income from $5000.00 to $25,000.00 per year. Average age of buildings - 5 years. Predominantly one and two story frame and stucco, cost range from $7500.00 to $40,000.00. Building restrictions by deed. 20% developed; 100% owner occupied. Sidewalk parking uniformly planted. Street improvements all in and paid for. Area is known as La Jolla Hermosa, Units No. 1 and 2. Homes are all in keeping with high class residential area. Well planned subdivision, with large lots of affording ample room for buildings without crowding. Each lot laid out to affording ample room for buildings without crowding. Each lot laid out to afford some view of either ocean or foot-hills. Approximately one and one-half miles to schools and La Jolla business district. In Acquisition & Improvement District Np. 1, City of San Diego, Causeway (Mattoon Bond District)."
San Diego,A5,Loma Portal,A,"This area is known as Loma Portal. It lies approximately four miles from San Diego business district; the topography going from level to gently sloping and canyons. It is a well designed subdivision and the homes, for the most part, have uniformity of architecture as well as size. The homes are one and two story frame stucco with cost range of $3500.00 to $30,000.00. They are well maintained and show high pride of ownership. Streets are practically all paved with all utilities in. It is a highly regarded district generally, and at the present time is probably one of the fastest growing area in the City - there being much activity in building. Residents are 100% white, being classified as professional men, business, retired people, naval officers, writers and artists, with an income range of $2500.00 to $25,000.00. In this area is located the Point Loma High School and at the southeast portion of the area is a community business center, serving the needs of the residents. There is no infiltration of any inharmonious influences, this being a high class residential district. Transportation facilities are adequate. No flood hazard, fog condition average for this Southern California coastal area. Probably 65% developed; 85% home owned; 15% rented."
San Diego,A6,La Playa,A,"This area is known as La Playa, also includes La Playa Highlands, Ironton, Golden Park and Cabrillo Terrace. There have been constructed during the past year, many fine homes, and the area is highly regarded generally from a residential standpoint. There is no special tax problem and the street bonds are paid and area is protected against detrimental influx of commercial units. Lots are hill side slopes commanding a magnificent view of San Diego Bay and City. Construction in the area predominantly one and two story homes, ranging in cost from $3500.00 to $50,000.00. Residents white, with income range of from $2500.00 to $35,000.00. Average age of buildings - 6 years. Building restrictions by deed. Accessible to conveniences and transportation. No flood or other hazards; fog condition average for Southern California coastal area. "
San Diego,A7,NA,A,"Topography high, sloping to the Northwest and Southwest, surrounded by canyons with excellent marine view from majority of the home sites. Residents for most part professional, retired and prosperous business men, with income range of $5000.00 upward. The homes are predominantly one and two story stucco, Spanish design, with deed restrictions Zone R-1, single family residences only. Generally considered one of the high class districts in San Diego. The cost range of the improvements $7500.00 to $35,000.00. Average age probably four years. Approximately 50% developed; 100% owner occupied; no vacancies. Seven blocks to transportation. This area adjoins Presidio Park, which was dedicated and given to the City of San Diego. This area was subdivided just prior to the depression. Many fine homes were built at that time and at present building has resumed on a fairly large scale. All improvements are in and paid for. All public utilities. This area should enjoy high rating for another ten to twenty years."
San Diego,A8,Coronada,A,"Topography practically level. All of this area lies along and around the Pacific Ocean and Glorietta Bay, with the exception of that property along Alameda Boulevard, which is directly across from the Coronada Country Club. This is one of the highest class districts in Southern California. The improvements in the area are predominantly two story stucco homes, with average age of probably eight years. Approximately 80% developed. The cost range of improvements will run from $4000.00 to $100,000.00. The largest construction in the area and the highest per front foot valuation lies along Ocean Boulevard. In this area there are several homes ranging from $25,000.00 to $100,000.00 in cost. Along Alameda Boulevard the homes are not quite so pretentious but are of a high type and highly desirable. That portion lying South and East is also highly desirable and compares favorably with that along Alameda Boulevard. Residents in this area are all white, being grouped as professional, business men, high ranking Naval Officers and retired people. Front foot valuations in this area will range from $50.00 to $500.00 per front foot. The range of income is probably from $4000.00 to $50,000.00. The whole area is easily accessible to all recreational facilities, transportation and city conveniences."
San Diego,A9,NA,A,"This area level but bounded by canyons on the North and West. It is known as Marston Hills and is highly desirable residential district. Inhabitants, professional, retired business men; income range $3500 upward. No racial concentration. Homes are well maintained, show high pride of ownership. Construction Spanish stucco; cost range $500 to $15,000. Average age - eight years. Restricted by deed and ordinance, Zone R-1, single family dwellings. Only 75% developed; 20% rented; 80% owner occupied. Close to Junior High Schoolm recreational facilities, transportation, markets, etc. Street improvements consist of pavements, sidewalks, curbs - all paid for. Adequate lighting facilities. No flood or other hazards. Fog condition average. No special assessments. No serious tax situation. This area has no encroachment of business or apartment houses but adjoins one of the best apartment house districts in the City. "
San Diego,A10,East  Balboa Park,A,"Topography high and practically level, overlooking a Municipal Golf Course in Balboa Park. This small area is one of the most desirable areas in the City and compares favorably in all respects with A-7, and should be classified as a high grade. Approximately 90% developed with a fine class of inhabitants in the area. Homes about 95% owner occupied."
