city,holc_id,name,holc_grade,area_description
San Francisco,A1,NA,A,"This area consists of 35 irregularly-shaped blocks, the greater portion of which is known as Sea Cliff, located at the westerly end of the area. The narrow strip from 27th Avenue east to 16th Avenue is an older district, but it is highly regarded as a residential area even though some of the residences range up to 30 years in age. In Sea Cliff proper the oldest structure is approximately 18 years old, the bulk of the houses having been built ten years ago. Sea Cliff is highly restricted to single-family residences, both by ordinance and deed. The other section is zoned by ordinance only, and a few four-family flats and one or two apartments were built in this district before the zoning ordinance came into effect. This does not have a detrimental influence, however. The appraised values of the residences in Sea Cliff range from $9500 to $50,000, and in the area lying to the east, range from $5,000 to $25,000. The area is inhabited largely by professional and business men of the executive type, having incomes ranging from $4,000 to $40,000. The income level of around $5,000 predominates. Infiltration of inharmonious racial elements is very remote, and maintenance is of a high order. There are comparatively to vacancies in this area, which is approximately 90% owner-occupied. Schools of all grades are within easy walking distance, transportation facilities are adequate, and parks and recreational areas are nearby. A few of the homes fronting on the ocean to the north have a privately-owned beach. Bordering on the north and east is the U.S. Military Reservation known as the Presidio, and a U.S. Marine Hospital and a large reservoir lie just outside the area. These are not considered a detrimental influence, but rather a benefit, as they are well-kept and insure seclusion. A standard six-room house in this area would have sold for $10,000 in 1929, $7500 in 1933, and is currently selling for $9,000. The same home would have rented for $90 a month in 1929, $60 a month in 1933, and $80 a month now."
San Francisco,A2,NA,A,"This area contains approximately three blocks and is secluded court subdivision, very exclusive, and placed on the market about 28 years ago. It is practically 100% built-up, with most of the buildings having been erected some 20 years ago. All improvements are single-family dwellings of the mansion type, ranging from $15,000 to $50,000 in cost and are 100% owner-occupied. Pride of ownership is exceptionally high, and all properties are excellently maintained, some of them having been extensively remodeled and modernized. The residents are made up of professional and business executives, with incomes in normal times ranging from $8,000 to $50,000. Transportation facilities, schools, churches, and recreational areas are in close proximity. Property is zoned first-residential and also protected by deed restrictions. This is an exclusive and secluded area, and there is no possibility of invasion by undesirable social elements. There are but one or two six-room residences in this area. A standard eight-room residence, of two stories in height, in this area would have sold for $15,000 in 1929, for $10,000 in 1933, and is currently selling for $12,500. The same house would have rented for $125 in 1929, $90 in 1933, and $110 now."
San Francisco,A3,NA,A,"This area of some 18 blocks occupies a rolling plateau which rises to a height of more than 300 feet in its southern and eastern parts and slopes gently to the north, furnishing an inspiring view of the ""Golden Gate"" and the mountains beyond. It adjoins and overlooks the pine-clad area of the Presidio (U.S. Military Reservation). It is practically 100% built-up, and most of it is owner-occupied by retired and active professional and business men. The income level, with but few exceptions, ranges from $10,000 per year up. In this area there are a number of mansions of the town house type, owned by some of San Francisco's prominent millionaires. Though the majority of the buildings are quite old, ranging up to 40 years, they have been kept thoroughly modernized, and their structural permanence insures a low rate of depreciation. There has been a little new construction in this area from year to year, and the average age of improvements is estimated to be from 15 to 20 years. There is no evidence of age or declining tendencies. With few exceptions, the value of the improvements run from $15,000 to $100,000, and in a few cases higher. There are one or two apartment houses of the high-class type and a few two-story flats in this area. These buildings were erected after the deed restrictions had expired and before the city zoning ordinance became effective. The district is now protected by single-family residence zoning. The character of the improvements and the topography are a protection to this area, and the intrusion of inharmonious social elements is very remote. A high pride of ownership predominates. There are no detrimental influences affecting this district, and it enjoys the advantage of adequate transportation facilities and conveniences of good schools, churches, recreational facilities, etc. Owing to lack of transition, it is not feasible to show fluctuation in prices in this area. The land has a front foot value running from $200 to $600."
San Francisco,A4,NA,A,"This area consists of that section of the Marina District that is zoned first-residential and restricted to single-family dwellings. There are really two parts to the area, and it is deemed best to describe them separately. The North part is the frontage on Marina Boulevard from Buchanan Street to the Presidio wall at Lyon Street. These lots are generally 30 feet wide and overlook the Bay, with the Marina hills in the background. They face directly on either a park or yacht harbor. Although they occupy ""made land"" which was formerly part of the 1915 Exposition Site, these lots have maintained a value of from $200 to $250 a front foot even through the depression, and the average cost of the homes range from $12,500 to $20,000, with one or two a little more costly. The neighborhood is very popular, and owing to the limited area, it is anticipated that there will always be good demand for this frontage. The western part of the area is situated upon natural ground, and 25 foot lots predominate. The improvements consist of one and two-story, six to nine-room dwellings, with a cost range of from $7,000 to $15,000, and is also considered very desirable residential property. This part of the area borders ""C-7"" which contains a large number of three-story apartments and flats. The break from ""green"" to ""yellow"" is justified by the high character of these multi-unit improvements. This entire area is practically 95% built-up and nearly all owner-occupied by professional and business men of the executive type, having incomes ranging from $5,000 to $20,000. Climatic conditions are favorable. Threat of discordant racial infiltration is very remote. Pride of ownership is high, and the demand for property in this section held better than in any other section in San Francisco during the depression. A standard eight-room house in the north part would have sold for $17,500 in 1929, $13,000 in 1933, and is currently selling for $17,500. The same home would have rented for $150 a month in 1929, $125 a month in 1933, and $150 now. A standard six-room house in the western part of this area would have sold for $11,000 in 1929, $8500 in 1933, and is now selling for $10,500. The same home would have rented for $100 a month in 1929, $75 a month in 1933 and $100 a month now."
San Francisco,A5,NA,A,"This neighborhood of some 20 blocks constitutes the highest class residential area in San Francisco. The lot sizes range from 30 to 100 feet frontage, and in 1928 some of the choice lots with unobstructed view were valued for as much as $1,000 per front foot. This area is zoned 'first-residential'; however, there are no deed restrictions. This area, starting with an elevation of 350 feet in the southern part, descends to less than 200 feet at its northern boundary. The majority of the sites afford an excellent view of the Bay, the Golden Gate Bridge, and the surrounding hills to the north and east. The east and west streets have favorable grades, but the streets running north and south are more or less precipitous. The area is approximately 85% built-up and practically 100% owner-occupied by professional men and capitalists, having incomes ranging from $10,000 per year up. The majority of the improvements are of the town house and mansion type and are of various types of construction. Buildings in this area range from new to an age of 40 years and have a cost range of from $20,000 to $150,000 or more. Owing to the architectural and structural soundness of its improvements and desirability of location, it is difficult to determine the remaining economic life of this district. None of the older improvements have been allowed to become obsolete, and they have been in many cases entirely remodeled and completely modernized. It is quite possible, owing to its natural advantages and the other factors mentioned, that this district will remain the outstanding residential district of San Francisco for a great many years to come. It is not feasible to estimate the fluctuation in values of a typical house in this district during the past eight years, for two reasons: first, that there is no typical house in this area of the smaller variety and, secondly, in the bottom of the depression there was absolutely no market for property of the predominating type in this area. Considerable activity is shown in this class of property at the present time, and it is safe to say that prices will soon be back to the 1929 level."
San Francisco,A6,NA,A,"This area, containing some 20 blocks, is the city's newest restricted, single-family residential sub-division, the main portion of which was placed on the market in 1931 and two smaller tracts platted in 1936. This area is located in what is known as the ""West of Twin Peaks"" section, the most popular medium-priced, better-class section in San Francisco. This section or district of San Francisco is, generally speaking, the only portion that carries deed restrictions and has the added advantage of being sub-divided into wider lots occupied by detached homes. The improvements in this area consist mainly of one-story, frame, single-family residences of five to eight rooms, all stucco exteriors, detached, and many of them having tiled roofs. The cost range of dwellings is from $7,000 to $12,000. No building in this area is older than five years, and over 50%f were constructed within the past two years. F. H. A. Title II loans have been a large factor in the development of this area, which is inhabited largely by the medium-income ""white collar"" class, professional men, small business owner, and executives, having incomes ranging from $3,000 to $6,000 or more. Property is protected by single-family deed restrictions and ""first-residential"" zoning. There are no racial threats, and maintenance is of a high order. The area is 95% owner-occupied, with no vacancies and is approximately 60% built-up. Building activity in this area is very brisk, and as the owners of the three sub-divisions are builders and developers, it is logical to assume that the entire area will be 95% developed within the next two years. Property has some view, convenience to schools, transportation, and recreational areas. A parked reservoir adds to the charm of the neighborhood. This is considered the ""hot spot"" of new residential construction in the $8,000 to $12,500 class. Presuming its existence, a standard six-room house, with two baths, in this area would have sold for $13,500 in 1929, $8,000 in 1933, and is currently selling for $12,500. The same home would have rented for $110 a month in 1929, $75 a month in 1933 and $95 a month now. The prevalence of high percentage to cost mortgage loans in this area constitutes a detrimental influence sufficient to warrant a designation of ""low green""."
San Francisco,A7,NA,A,"This area, consisting of some 22 irregularly-shaped blocks, is the best portion of a tract known as Forest Hill, which was placed on the market in 1911 by a progressive sub-divider who took advantage of the publicity about the anticipated effect the completion of the Twin Peaks Tunnel would have on this undeveloped area. This tunnel, 2 1/4 miles long, was completed in 1916 and supplies direct rail transportation from the area known as ""West of the Twin Peaks"" to the City Center and other points. The construction of this tunnel opened up some three or four thousand acres of dormant land into a better-type of restricted sub-division. The average size of lots in this area is 33 1/3 by 100 feet. The street improvements, though costly due to the topography, were not accepted by the city and are being kept in repair by the Forest Hill Association, a non-profit corporation made up of property owners within the tract, for the purpose of maintaining streets, landscaping, and generally enforcing the restrictions. This association is functioning well, and the tract and streets are well-maintained. There is a special tax levy of 3/10 of a mill per square foot monthly for maintenance. Most of the residences in this tract are of the two-story, six to eight-room type, their prices ranging from $5,000 to $20,000, protected by deed restriction and zoning to single-family residences only. The tract is approximately 60% built-up and largely owner-occupied with less than 3% vacancy. Portion of this sub-division are convenient to shops, schools, and transportation, while other portions are somewhat removed from transportation facilities. The residents in this area are largely made up of the ""white collar"" class in the middle-salaried brackets and professional and business men, having an income range from $2500 to $7500. Infiltration of inharmonious social elements is not anticipated. This tract was slow to develop; therefore, there are homes ranging in age from new to 25 years, with the majority of the buildings erected within the past 10 years. This area adjoins the Laguna Hona Home for the Aged. This does not constitute a detrimental influence, however, as the grounds are highly landscaped and well-maintained. A standard six-room house in this area would have sold for $10,000 in 1929, $6500 in 1933, and $9,000 at the present time. It would have rented for $90 a month in 1929, $60 a month in 1933 and $80 per month now."
San Francisco,A8,NA,A,"This area, consisting of some 26 irregularly-shaped blocks, is 95% developed and consists of what is known as Merrit Terrace, West Portal Park, and Claremont Court. These three tracts were subdivided in 1915; however, there was but little building activity prior to 1920. These three tracts surround the western portal of the Twin Peaks Tunnel. The first three blocks on West Portal Avenue from the entrance of the tunnel are zoned for commercial purposes, two blocks of which have been built up with stores comprising a very high-class community business center, with theatres, excellent food shops, etc. This well-developed little business center has a good influence on residential property values, even on those immediately adjoining the stores. This area is made up largely of one-story, five and six-room, detached homes, having a cost range of from $4,000 to $7,500, with 80 to 90% owner-occupancy and few vacancies. The majority of the buildings in this area were erected between eight and twelve years ago. The residents in this area are made up of small business and professional men, office workers, and junior executives, having an income range from $2200 to $5,000. This area is restricted to single-family dwellings, both by deed and zoning. This section is very popular, partly due to being conveniently located to excellent schools, shops and transportation facilities. Maintenance of property in the area is notably good, and there are no known detrimental influences or threats. A standard six-room house in this area would have sold for $9500 in 1929, $5500 in 1933, and is currently selling for $8500. The same home would have rented for $95 per month in 1929, $50 per month in 1933, and $75 per month now."
San Francisco,A9,NA,A,"This area, consisting of some 20 irregularly-shaped blocks, is known as Forest Hill Extension and a portion of Laguna Honda Park. In the southern portion of this area there is a precipitous hill which rises some 250 feet from the level of this area and slopes off on all four sides. This area is approximately 70% built-up, with the exception of this hill which is but 25% developed. There are some very fine view lots, and one or two very costly homes have been erected. The residents of this area consists of junior executives, some professional and business men, and some highly-skilled mechanics, having an income range from $2,000 to $6,000. Improvements are made up of from five to eight-rooms, one and two-story, single-family, detached, frame and stucco homes, with a cost range from $4,000 to $10,000. The age of these structures is from new to 20 years old, with a majority of them erected between six to twelve years ago. Homes are conveniently located to schools, transportation and shops, and they are 80% to 90% owner-occupied with few vacancies. Maintenance in the area is of a high character and racial problems very remote. Property in this area is in good demand, and mortgagee officials consider it excellent lending territory. A standard six-room house in this area would have sold for $8500 in 1929, $4500 in 1933, and is currently selling for $7500. The same home would have rented for $80 a month in 1929, 445 a month in 1933, and $70 a month now. "
San Francisco,A10,NA,A,"This area of 25 irregularly-shaped blocks is approximately 85% developed. It is known as St. Francis Wood and ranks as one of the best laid out and restricted residential sub-divisions in San Francisco. The restrictions are first-residential, permitting single-family residences only, and their architecture is controlled by a board, resulting in uniformity and harmony in improvements. The tract is well-landscaped and is considered the most popular sub-division in its class. It has an undulating topography with rolling elevations from the east to the west, and the streets are contoured for easy grades and maximum construction for view. The improvements in this area have a cost range from $6,000 to $30,000, with the $10,000 house predominating. The range in age is from new to 20 years, the $10,000 house predominating. The range in age is from new to 20 years, the majority of the homes having been erected within the past 12 years. Good grade schools, transportation, parks, shopping, and recreational areas are conveniently located. There are no deterring influences, and there exists a very high percentage of home ownership, with practically no vacancies. There is an upkeep tax approximately $2,50 per lot monthly, which is judiciously expended in keeping up parks, tennis courts, etc. which belong to the tract. This expenditure has resulted in a neighborhood of great charm and attractiveness, which adds materially to property values in the area. The lots in this sub-division maintained their values even during the depression period. Lots are selling for as high as $5,000, which is approximately the peak. The residents of this tract are made up of professional people, business executives, and a few retired capitalists, having an income range from $5,000 to $40,000. The marketability for property in this area is the highest in the entire district. This is partly due to the high standard of maintenance and proper restrictions that exist. There are a number of homes being built in this area, and construction loans area eagerly sought by all mortgagee institutions. A standard six-room house, with two baths, in this area would have sold for $15,000 in 1929, $10,500 in 1933, and is currently selling for $13,500. The same homes would have rented for $125 a month in 1929, $90 a month in 1933, and $105 a month now."
