site_id,site_name,site_address,city,zip_code,enf_action_date,enf_action_type,enf_action_description,enf_action_notes,enf_action_division,enf_action_program,enf_action_source
120,1 Hour City Cleaners,1077 MACARTHUR BLVD,SAN LEANDRO,94577,2014-10-23,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Leandro City,HW,CERS
120,1 Hour City Cleaners,1077 MACARTHUR BLVD,SAN LEANDRO,94577,2017-10-16,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Leandro City,HW,CERS
196,101 AUTO BODY,1223 SAN PABLO AVE,BERKELEY,94706,2016-02-10,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
196,101 AUTO BODY,1223 SAN PABLO AVE,BERKELEY,94706,2016-02-10,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HW,CERS
196,101 AUTO BODY,1223 SAN PABLO AVE,BERKELEY,94706,2016-05-26,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
196,101 AUTO BODY,1223 SAN PABLO AVE,BERKELEY,94706,2017-04-05,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,FAILURE TO SUBMIT AN ELECTRONIC HAZARDOUS MATERIALS BUSINESS  PLAN (HMBP) BY MARCH 1ST.  .,Berkeley City Toxics Management Division,HMRRP,CERS
196,101 AUTO BODY,1223 SAN PABLO AVE,BERKELEY,94706,2019-03-07,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Berkeley City Toxics Management Division,HMRRP,CERS
548,300 CAPITOL MALL,300 CAPITOL MALL STE 120,SACRAMENTO,95814,2013-12-31,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HMRRP,CERS
548,300 CAPITOL MALL,300 CAPITOL MALL STE 120,SACRAMENTO,95814,2013-12-31,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,UST,CERS
548,300 CAPITOL MALL,300 CAPITOL MALL STE 120,SACRAMENTO,95814,2014-10-27,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,UST,CERS
548,300 CAPITOL MALL,300 CAPITOL MALL STE 120,SACRAMENTO,95814,2017-03-16,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,UNSPEC,CERS
548,300 CAPITOL MALL,300 CAPITOL MALL STE 120,SACRAMENTO,95814,2017-03-16,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,UST,CERS
