site_id,ei_id,site_name,address,city,zip,latitude,longitude,ei_description
40,10383754,#78 Pacific Beach Chevron,1575 GARNET AVE,SAN DIEGO,92109,32.799454,-117.241074,Hazardous Waste Generator
126,10131763,Maaco #2578,6859 VAN NUYS BLVD,VAN NUYS,91405,34.195663,-118.44925,Hazardous Waste Generator
482,10217623,24TH STREET GARAGE,2740 24TH ST,SACRAMENTO,95818,38.554604,-121.483711,Hazardous Waste Generator
488,10669042,2502 Vons A Safeway Company,500 E MANCHESTER BLVD,INGLEWOOD,90301,33.960609,-118.3489,Chemical Storage Facilities
504,10424620,26TH STREET AUTO CENTER,13060 SAN VICENTE BLVD # A,LOS ANGELES,90049,34.04817,-118.49138,Hazardous Waste Generator
507,10526221,2730 Wilshire,2730 WILSHIRE BLVD,SANTA MONICA,90404,34.03682,-118.47545,Aboveground Petroleum Storage
508,10173809,2739 Vons A Safeway Company,8969 SANTA MONICA BLVD,WEST HOLLYWOOD,90069,34.084129,-118.386429,Chemical Storage Facilities
518,10173827,2858 Vons A Safeway Company,2355 E COLORADO BLVD,PASADENA,91107,34.147404,-118.102119,Chemical Storage Facilities
528,10251448,29 TROJAN AUTO BODY,2908 S VERMONT AVE # B,LOS ANGELES,90007,34.02806,-118.29116,Chemical Storage Facilities
548,10218391,300 CAPITOL MALL,300 CAPITOL MALL STE 120,SACRAMENTO,95814,38.57869,-121.50378,Hazardous Waste Generator
563,10173861,3208 Vons A Safeway Company,745 W NAOMI AVE,ARCADIA,91007,34.125046,-118.057724,Chemical Storage Facilities
566,10173865,3258 Vons A Safeway Company,804 BEVERLY BLVD,MONTEBELLO,90640,34.01726,-118.10615,Chemical Storage Facilities
585,10245196,"3600 WILSHIRE, LLC",3600 W WILSHIRE BLVD,LOS ANGELES,90010,34.0607,-118.30363,Chemical Storage Facilities
624,10246444,4 EVERS AUTOMOTIVE SERVICE,2824 W SUNSET BLVD,LOS ANGELES,90026,34.082104,-118.272606,Hazardous Waste Generator
653,10386481,40/30 DENTAL,6175 EL CAJON BLVD,SAN DIEGO,92115,32.762348,-117.064873,Hazardous Waste Generator
677,10227214,455 CAPITOL MALL COMPLEX,455 CAPITOL MALL STE 105,SACRAMENTO,95814,38.57921,-121.50178,Chemical Storage Facilities
694,10417078,4JR Enterprises,200 N GLENDALE AVE,GLENDALE,91206,34.148396,-118.245964,Chemical Storage Facilities
139,10253050,1000 VERMONT LLC,1000 S VERMONT AVE,LOS ANGELES,90006,34.052002,-118.291153,Hazardous Waste Generator
139,10253050,1000 VERMONT LLC,1000 S VERMONT AVE,LOS ANGELES,90006,34.052002,-118.291153,Underground Storage Tank
190,10250785,10 MINUTE OIL GENERAL MECHANIC,3901 W BEVERLY BLVD,LOS ANGELES,90004,34.07637,-118.29338,Chemical Storage Facilities
214,10058209,1080 Chestnut Corporation,1080 CHESTNUT ST APT 2B,SAN FRANCISCO,94109,37.803051,-122.42108,Chemical Storage Facilities
40,10383754,#78 Pacific Beach Chevron,1575 GARNET AVE,SAN DIEGO,92109,32.799454,-117.241074,Chemical Storage Facilities
120,10598878,1 Hour City Cleaners,1077 MACARTHUR BLVD,SAN LEANDRO,94577,37.73179,-122.139531,Hazardous Waste Generator
126,10131763,Maaco #2578,6859 VAN NUYS BLVD,VAN NUYS,91405,34.195663,-118.44925,Chemical Storage Facilities
132,10250041,10 MINUTES TIRE SERVICE,5801 W PICO BLVD,LOS ANGELES,90019,34.051434,-118.364723,Hazardous Waste Generator
139,10253050,1000 VERMONT LLC,1000 S VERMONT AVE,LOS ANGELES,90006,34.052002,-118.291153,Chemical Storage Facilities
190,10250785,10 MINUTE OIL GENERAL MECHANIC,3901 W BEVERLY BLVD,LOS ANGELES,90004,34.07637,-118.29338,Hazardous Waste Generator
738,10134397,550 N Brand Owners Corp,550 N BRAND BLVD,GLENDALE,91203,34.154259,-118.254326,Chemical Storage Facilities
745,10245019,5670 WILSHIRE,5670 W WILSHIRE BLVD,LOS ANGELES,90036,34.06167,-118.35229,Chemical Storage Facilities
749,10244662,"59 N FIG CLEANERS, INC.",5907 N FIGUEROA ST,LOS ANGELES,90042,34.110736,-118.190583,Hazardous Waste Generator
