site_id,action,eval_fiscal_year,fy_start,fy_end,count
40,inspection,2013 / 2014,2013,2014,3
40,inspection,2014 / 2015,2014,2015,3
40,inspection,2015 / 2016,2015,2016,3
40,inspection,2016 / 2017,2016,2017,3
40,inspection,2017 / 2018,2017,2018,3
40,inspection,2018 / 2019,2018,2019,3
40,inspection,2019 / 2020,2019,2020,1
40,violation,2013 / 2014,2013,2014,1
40,violation,2015 / 2016,2015,2016,2
40,violation,2016 / 2017,2016,2017,1
40,violation,2017 / 2018,2017,2018,3
40,violation,2018 / 2019,2018,2019,2
40,violation,2019 / 2020,2019,2020,2
120,enf_action,2014 / 2015,2014,2015,1
120,enf_action,2017 / 2018,2017,2018,1
120,inspection,2014 / 2015,2014,2015,1
120,inspection,2017 / 2018,2017,2018,1
120,violation,2014 / 2015,2014,2015,2
120,violation,2017 / 2018,2017,2018,4
126,inspection,2013 / 2014,2013,2014,2
126,inspection,2014 / 2015,2014,2015,2
126,inspection,2016 / 2017,2016,2017,3
126,inspection,2017 / 2018,2017,2018,2
126,inspection,2018 / 2019,2018,2019,1
126,inspection,2019 / 2020,2019,2020,1
126,violation,2016 / 2017,2016,2017,3
126,violation,2017 / 2018,2017,2018,13
132,inspection,2014 / 2015,2014,2015,1
132,inspection,2017 / 2018,2017,2018,2
132,violation,2017 / 2018,2017,2018,2
139,inspection,2015 / 2016,2015,2016,3
139,inspection,2016 / 2017,2016,2017,4
139,inspection,2017 / 2018,2017,2018,4
139,inspection,2018 / 2019,2018,2019,7
139,inspection,2019 / 2020,2019,2020,3
139,violation,2017 / 2018,2017,2018,14
139,violation,2018 / 2019,2018,2019,8
139,violation,2019 / 2020,2019,2020,6
190,inspection,2015 / 2016,2015,2016,2
190,inspection,2017 / 2018,2017,2018,1
190,inspection,2018 / 2019,2018,2019,1
190,violation,2015 / 2016,2015,2016,13
190,violation,2017 / 2018,2017,2018,13
196,enf_action,2015 / 2016,2015,2016,3
196,enf_action,2016 / 2017,2016,2017,1
196,enf_action,2018 / 2019,2018,2019,1
196,inspection,2015 / 2016,2015,2016,3
196,inspection,2016 / 2017,2016,2017,1
196,inspection,2018 / 2019,2018,2019,2
196,violation,2015 / 2016,2015,2016,5
196,violation,2016 / 2017,2016,2017,1
196,violation,2018 / 2019,2018,2019,3
214,inspection,2014 / 2015,2014,2015,1
214,inspection,2015 / 2016,2015,2016,1
214,inspection,2016 / 2017,2016,2017,2
214,inspection,2019 / 2020,2019,2020,1
214,violation,2014 / 2015,2014,2015,6
214,violation,2015 / 2016,2015,2016,1
214,violation,2016 / 2017,2016,2017,1
214,violation,2019 / 2020,2019,2020,3
215,inspection,2014 / 2015,2014,2015,1
215,inspection,2017 / 2018,2017,2018,2
215,violation,2014 / 2015,2014,2015,1
215,violation,2017 / 2018,2017,2018,1
229,inspection,2013 / 2014,2013,2014,4
229,inspection,2014 / 2015,2014,2015,1
229,inspection,2017 / 2018,2017,2018,6
229,violation,2013 / 2014,2013,2014,7
229,violation,2017 / 2018,2017,2018,3
245,inspection,2015 / 2016,2015,2016,1
245,inspection,2019 / 2020,2019,2020,1
245,violation,2015 / 2016,2015,2016,2
245,violation,2019 / 2020,2019,2020,1
296,inspection,2018 / 2019,2018,2019,2
314,inspection,2013 / 2014,2013,2014,2
314,inspection,2018 / 2019,2018,2019,2
314,violation,2018 / 2019,2018,2019,4
334,inspection,2015 / 2016,2015,2016,4
334,inspection,2018 / 2019,2018,2019,1
334,violation,2015 / 2016,2015,2016,2
338,inspection,2014 / 2015,2014,2015,2
338,inspection,2018 / 2019,2018,2019,1
338,violation,2014 / 2015,2014,2015,5
338,violation,2018 / 2019,2018,2019,2
368,inspection,2012 / 2013,2012,2013,2
368,inspection,2015 / 2016,2015,2016,2
368,inspection,2018 / 2019,2018,2019,2
368,violation,2012 / 2013,2012,2013,1
406,inspection,2014 / 2015,2014,2015,1
406,inspection,2015 / 2016,2015,2016,1
406,violation,2014 / 2015,2014,2015,2
413,inspection,2018 / 2019,2018,2019,2
418,inspection,2013 / 2014,2013,2014,4
418,inspection,2016 / 2017,2016,2017,2
420,inspection,2014 / 2015,2014,2015,1
420,inspection,2017 / 2018,2017,2018,1
440,inspection,2014 / 2015,2014,2015,1
440,inspection,2016 / 2017,2016,2017,2
440,inspection,2019 / 2020,2019,2020,2
464,inspection,2014 / 2015,2014,2015,1
464,inspection,2016 / 2017,2016,2017,1
464,inspection,2018 / 2019,2018,2019,1
464,violation,2014 / 2015,2014,2015,4
464,violation,2016 / 2017,2016,2017,2
464,violation,2018 / 2019,2018,2019,2
481,inspection,2015 / 2016,2015,2016,2
481,inspection,2017 / 2018,2017,2018,2
481,violation,2015 / 2016,2015,2016,4
481,violation,2017 / 2018,2017,2018,12
482,inspection,2016 / 2017,2016,2017,2
482,inspection,2019 / 2020,2019,2020,2
482,violation,2016 / 2017,2016,2017,5
488,inspection,2019 / 2020,2019,2020,2
504,inspection,2013 / 2014,2013,2014,5
504,inspection,2014 / 2015,2014,2015,1
504,inspection,2015 / 2016,2015,2016,3
504,inspection,2016 / 2017,2016,2017,3
504,inspection,2017 / 2018,2017,2018,1
504,inspection,2018 / 2019,2018,2019,4
504,violation,2016 / 2017,2016,2017,2
504,violation,2017 / 2018,2017,2018,1
504,violation,2018 / 2019,2018,2019,5
507,inspection,2015 / 2016,2015,2016,1
507,inspection,2016 / 2017,2016,2017,1
507,inspection,2017 / 2018,2017,2018,1
507,inspection,2018 / 2019,2018,2019,1
507,violation,2015 / 2016,2015,2016,2
507,violation,2016 / 2017,2016,2017,3
507,violation,2017 / 2018,2017,2018,1
507,violation,2018 / 2019,2018,2019,1
508,inspection,2013 / 2014,2013,2014,4
508,inspection,2016 / 2017,2016,2017,2
508,inspection,2019 / 2020,2019,2020,2
508,violation,2016 / 2017,2016,2017,1
518,inspection,2014 / 2015,2014,2015,1
518,inspection,2015 / 2016,2015,2016,1
518,inspection,2019 / 2020,2019,2020,1
518,violation,2014 / 2015,2014,2015,3
528,inspection,2015 / 2016,2015,2016,2
528,inspection,2018 / 2019,2018,2019,2
528,inspection,2019 / 2020,2019,2020,1
528,violation,2015 / 2016,2015,2016,5
548,enf_action,2013 / 2014,2013,2014,2
548,enf_action,2014 / 2015,2014,2015,1
548,enf_action,2016 / 2017,2016,2017,2
548,inspection,2013 / 2014,2013,2014,2
548,inspection,2014 / 2015,2014,2015,1
548,inspection,2015 / 2016,2015,2016,1
548,inspection,2016 / 2017,2016,2017,3
548,inspection,2017 / 2018,2017,2018,1
548,inspection,2018 / 2019,2018,2019,1
548,inspection,2019 / 2020,2019,2020,2
548,violation,2013 / 2014,2013,2014,6
548,violation,2014 / 2015,2014,2015,4
548,violation,2016 / 2017,2016,2017,5
548,violation,2019 / 2020,2019,2020,11
551,inspection,2016 / 2017,2016,2017,1
551,violation,2016 / 2017,2016,2017,2
563,inspection,2015 / 2016,2015,2016,2
563,inspection,2019 / 2020,2019,2020,2
563,violation,2019 / 2020,2019,2020,1
565,inspection,2013 / 2014,2013,2014,2
565,inspection,2014 / 2015,2014,2015,1
565,inspection,2016 / 2017,2016,2017,2
565,inspection,2020 / 2021,2020,2021,1
565,violation,2013 / 2014,2013,2014,1
566,inspection,2013 / 2014,2013,2014,2
566,inspection,2014 / 2015,2014,2015,2
566,inspection,2017 / 2018,2017,2018,4
